Codepoint,Hanzi,pinyin,Traditional Variant,Simplified Variant,Definition
U+4E3E,举,jǔ,舉,,"raise, lift up; recommend"
U+4E43,乃,nǎi,,,"then; really, indeed; as it turned out, after all; namely"
U+4E45,久,jiǔ,,,"long time (ago); time passage, grow late"
U+4E48,么,me yāo,"么,幺,麼,麽",么,interrogative particle; small
U+4E49,义,yì,"义,義",义,"right conduct, righteousness"
U+4E4B,之,zhī,,,"marks preceding phrase as modifier of following phrase; it, him her, them; go to"
U+4E4C,乌,wū,烏,,"crow, rook, raven; black, dark"
U+4E4D,乍,zhà,,,"first time, for the first time"
U+4E4E,乎,hū,,,interrogative or exclamatory final particle
U+4E4F,乏,fá,,,lack; poor
U+4E50,乐,lè,"乐,樂",乐,"happy, glad; enjoyable; music"
U+4E52,乒,pīng,,,(used with 乓) “ping” of “ping pong”
U+4E53,乓,pāng,,,(used with 乒) “pong” of “ping pong”
U+4E54,乔,qiáo,"乔,喬",乔,"tall, lofty; proud, stately"
U+4E56,乖,guāi,,,"rebel; crafty, shrewd"
U+4E58,乘,chéng,,,"ride, ascend; avail oneself of; numerary adjunct for vehicles"
U+4E59,乙,yǐ,,,second; 2nd heavenly stem
U+4E5D,九,jiǔ,,,nine
U+4E5E,乞,qǐ,,,beg; request
U+4E5F,也,yě,,,also; classical final particle of strong affirmation or identity
U+4E60,习,xí,習,,practice; flapping wings
U+4E61,乡,xiāng,鄉,,country; rural; village
U+4E66,书,shū,書,,"book, letter, document; writings"
U+4E70,买,mǎi,買,,"buy, purchase; bribe, persuade"
U+4E71,乱,luàn,"乱,亂",乱,"confusion, state of chaos, revolt"
U+4E73,乳,rǔ,,,"breast, nipples; milk, suckle"
U+4E78,乸,nǎ,,,(Cant.) feminine suffix
U+4E7E,乾,qián gān,乾,"乾,干","dry; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male); trigram ☰; hexagram ䷀"
U+4E82,亂,luàn,,乱,"confusion, state of chaos; create chaos, revolt"
U+4E86,了,le,"了,瞭",了,to finish; particle of completed action
U+4E88,予,yǔ,,,"I, me; to give"
U+4E89,争,zhēng,"争,爭",争,"dispute, fight, contend, strive"
U+4E8B,事,shì,,,"affair, matter, business; to serve; accident, incident"
U+4E8C,二,èr,,,two; twice
U+4E8E,于,yú,"于,於",于,"in, on, at; go to; surname"
U+4E8F,亏,kuī,"亏,虧",亏,"lose, fail; damage; deficient"
U+4E91,云,yún,"云,雲",云,"say, speak; clouds"
U+4E92,互,hù,,,"mutually, reciprocally"
U+4E94,五,wǔ,,,five; surname
U+4E95,井,jǐng,,,"well, mine shaft, pit; surname; 22nd lunar mansion, determinative star μ Geminorum (Tejat); hexagram ䷯"
U+4E98,亘,gèn,,,"extend across, through; from"
U+4E99,亙,gèn,,,"extend across, through; from"
U+4E9A,亚,yà,亞,,Asia; second
U+4E9B,些,xiē,,,"little, few; rather, somewhat"
U+4E9E,亞,yà,,亚,Asia; second; used as a prefix to names
U+4E9F,亟,jí,,,"urgently, immediately, extremely"
U+4EA1,亡,wáng,,,"death, destroyed; lose, perish"
U+4EA2,亢,kàng,,,"high, proud; violent, excessive; skilled; name; 2nd lunar mansion, determinative star κ Virginis (Kang)"
U+4EA4,交,jiāo,,,"mix; intersect; exchange, communicate; deliver"
U+4EA5,亥,hài,,,twelfth earthly branch
U+4EA6,亦,yì,,,"also, too; likewise"
U+4EA7,产,chǎn,"產,産",,"give birth, bring forth, produce"
U+4EA8,亨,hēng,,,"smoothly, progressing, no trouble"
U+4EA9,亩,mǔ,畝,,Chinese land measure; fields
U+4EAB,享,xiǎng,,,enjoy
U+4EAC,京,jīng,,,capital city
U+4EAD,亭,tíng,,,pavilion; erect
U+4EAE,亮,liàng,,,"bright, brilliant, radiant, light"
U+4EB2,亲,qīn,親,,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree"
U+4EB5,亵,xiè,褻,,"slight, insult, treat with disrespect"
U+4EBA,人,rén,,,man; people; mankind; someone else
U+4EBB,亻,rén,,,radical number 9
U+4EBF,亿,yì,億,,hundred million; many
U+4EC0,什,shén,,,"file of ten soldiers; mixed, miscellaneous"
U+4EC1,仁,rén,,,"humaneness, benevolence, kindness"
U+4EC4,仄,zè,,,"slanting, oblique; oblique tones"
U+4EC5,仅,jǐn,"仅,僅",仅,"only, merely, solely, just"
U+4EC6,仆,pū,"仆,僕",仆,"fall forward; lie prostrate, prone; servant"
U+4EC7,仇,chóu,,,"enemy, hate, hatred, enmity"
U+4ECA,今,jīn,,,"now, today, modern era"
U+4ECB,介,jiè,,,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
U+4ECD,仍,réng,,,"yet, still, as ever; again; keep -ing, continuing"
U+4ECE,从,cóng,"从,從",从,"from, by, since, whence, through"
U+4ED1,仑,lún,侖,,"logical reasons, logical order"
U+4ED3,仓,cāng,倉,,granary; berth; sea
U+4ED4,仔,zǐ,,,"small thing, child; young animal"
U+4ED5,仕,shì,,,official; serve government
U+4ED6,他,tā,,,"other, another; he, she, it"
U+4ED7,仗,zhàng,,,"rely upon; protector; fight; war, weaponry"
U+4ED8,付,fù,,,"give, deliver, pay, hand over; entrust"
U+4ED9,仙,xiān,,,"Taoist super-being, transcendent, immortal; cent"
U+4EDD,仝,tóng,,,"together, same; surname"
U+4EDE,仞,rèn,,,ancient unit of measure (8 feet); 'fathom'
U+4EDF,仟,qiān,,,one thousand; leader of one thousand men
U+4EE1,仡,gē,,,strong; valiant
U+4EE3,代,dài,,,"replace, replacement (of person or generation); era, generation"
U+4EE4,令,lìng,,,"command, order; 'commandant', magistrate; allow, cause"
U+4EE5,以,yǐ,,,"by means of; thereby, therefore; consider as; in order to"
U+4EE8,仨,sā,,,(coll.) three (cannot be followed by a measure word)
U+4EEA,仪,yí,"仪,儀",仪,"ceremony, rites gifts; admire"
U+4EEC,们,men,們,,adjunct pronoun indicate plural
U+4EF0,仰,yǎng,,,"raise the head to look; look up to, rely on, admire"
U+4EF2,仲,zhòng,,,"middle brother; go between, mediator; surname"
U+4EF6,件,jiàn,,,numerary adjunct for article; matter
U+4EF7,价,jià,"价,價",价,"price, value"
U+4EFB,任,rèn,,,"trust to, rely on, appoint; to bear, duty, office; allow"
U+4EFD,份,fèn,,,"portion, part; duty"
U+4EFF,仿,fǎng,,,"imitate, copy; as if"
U+4F01,企,qǐ,,,plan a project; stand on tiptoe
U+4F09,伉,kàng,,,"compare, match; pair; spouse"
U+4F0A,伊,yī,,,"third person pronoun; he, she, this, that"
U+4F0D,伍,wǔ,,,"five, company of five; troops"
U+4F0E,伎,jì,,,"talent, skill, ability"
U+4F0F,伏,fú,,,"crouch, crawl, lie hidden, conceal"
U+4F10,伐,fá,,,"cut down, subjugate, attack"
U+4F11,休,xiū,,,"rest, stop; retire; do not!"
U+4F17,众,zhòng,"众,眾,衆",众,"multitude, crowd; masses, public"
U+4F18,优,yōu,"优,優",优,"superior, excellent; actor"
U+4F19,伙,huǒ,"伙,夥",伙,"companion, colleague; utensils"
U+4F1A,会,huì,"会,會",会,"assemble, meet together; meeting"
U+4F1E,伞,sǎn,傘,,"umbrella, parasol, parachute"
U+4F1F,伟,wěi,偉,,"great, robust; extraordinary"
U+4F20,传,chuán,傳,,"summon; propagate, transmit"
U+4F24,伤,shāng,"伤,傷",伤,"wound, injury; fall ill from"
U+4F25,伥,chāng,倀,,ghost of one devoured by tiger
U+4F26,伦,lún,倫,,normal human relationships
U+4F2A,伪,wěi,"偽,僞",,"false, counterfeit, bogus"
U+4F2B,伫,zhù,佇,,look towards; turn one's back on
U+4F2F,伯,bó,,,older brother; father's elder brother; senior male 'sire'; feudal rank 'count'
U+4F30,估,gū,,,"merchant; estimate, guess, presume"
U+4F34,伴,bàn,,,"companion, comrade, partner; accompany"
U+4F38,伸,shēn,,,"extend, stretch out, open up; trust"
U+4F3A,伺,cì,,,"serve, wait upon, attend; examine"
U+4F3C,似,sì,,,"resemble, similar to; as if, seem"
U+4F3D,伽,jiā,,,"transcription of Sanskrit 'gha' in Buddhist texts ('samgha', etc.); nursing; attending; entertainer (Japanese); temple; in Chinese this character is not used alone"
U+4F43,佃,diàn,,,tenant farmer; be a tenant farmer
U+4F46,但,dàn,,,"only; but, however, yet, still"
U+4F47,佇,zhù,,伫,wait; look towards; turn one's back on
U+4F48,佈,bù,,,"spread, publicize, announce"
U+4F4D,位,wèi,,,"throne; position, post; rank, status; seat"
U+4F4E,低,dī,,,"low; to lower, hang, bend, bow"
U+4F4F,住,zhù,,,"reside, live at, dwell, lodge; stop"
U+4F50,佐,zuǒ,,,"assist, aid, second; subordinate"
U+4F51,佑,yòu,,,"help, protect, bless"
U+4F53,体,tǐ,"体,體",体,"body; group, class, body, unit; inferior"
U+4F54,佔,zhàn,,,"occupy by force, usurp; possess"
U+4F55,何,hé,,,"what, why, where, which, how"
U+4F58,佘,shé,,,surname
U+4F59,余,yú,"余,餘",余,"I, my, me; surname; surplus"
U+4F5A,佚,yì,,,indulge in pleasures; flee
U+4F5B,佛,fú,,,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Japanese)
U+4F5C,作,zuò,,,"make; work; compose, write; act, perform"
U+4F5D,佝,gōu,,,rickets
U+4F60,你,nǐ,,,"you, second person pronoun"
U+4F63,佣,yōng,"佣,傭",佣,commission fee
U+4F64,佤,wǎ,,,"the Va (Wa) nationality, living in Yunnan"
U+4F69,佩,pèi,,,"belt ornament, pendant; wear at waist, tie to the belt; respect"
U+4F6C,佬,lǎo,,,"(Cant.) man, person; mature"
U+4F70,佰,bǎi,,,hundred
U+4F73,佳,jiā,,,"good, auspicious; beautiful; delightful"
U+4F74,佴,nài,,,"a second, an assistant"
U+4F75,併,bìng,,并,"combine, annex"
U+4F76,佶,jí,,,"strong, robust; exact, correct"
U+4F7C,佼,jiǎo,,,"beautiful, handsome, good-looking"
U+4F7F,使,shǐ,,,"cause, send on a mission, order; envoy, messenger, ambassador"
U+4F83,侃,kǎn,,,upright and strong; amiable
U+4F84,侄,zhí,,,nephew
U+4F86,來,lái,,来,"come, coming; return, returning"
U+4F88,侈,chǐ,,,"luxurious, extravagant"
U+4F8B,例,lì,,,"precedent, example; regulation"
U+4F8D,侍,shì,,,"serve, attend upon; attendant, servant; samurai"
U+4F8F,侏,zhū,,,"small, little, tiny, dwarf"
U+4F96,侖,lún,,仑,"logical reasons, logical order"
U+4F97,侗,dòng,,,"big; ignorant; rude, rustic"
U+4F9B,供,gōng,,,"supply, provide for; offer in worship"
U+4F9D,依,yī,,,"rely on, be set in; consent, obey a wish"
U+4FA0,侠,xiá,"侠,俠",侠,chivalrous person; knight-errant
U+4FA3,侣,lǚ,侶,,companion; associate with
U+4FA5,侥,jiǎo,僥,,"be lucky; by chance, by luck"
U+4FA6,侦,zhēn,偵,,"spy, reconnoiter; detective"
U+4FA7,侧,cè,側,,"side; incline, slant, lean"
U+4FA8,侨,qiáo,僑,,"sojourn, lodge"
U+4FAA,侪,chái,儕,,"a company, companion; together"
U+4FAC,侬,nóng,儂,,I; you; family name
U+4FAE,侮,wǔ,,,"insult, ridicule, disgrace"
U+4FAF,侯,hóu,,,"marquis, lord; target in archery"
U+4FB5,侵,qīn,,,"invade, encroach upon, raid"
U+4FB6,侶,lǚ,,侣,companion; associate with
U+4FBF,便,biàn,,,"convenience, ease; expedient"
U+4FC2,係,xì,,系,"bind, tie up; involve, relation"
U+4FC3,促,cù,,,"urge, press, hurry; close"
U+4FC4,俄,é,,,"sudden(ly), soon; Russian"
U+4FCA,俊,jùn,,,"talented, capable; handsome"
U+4FCF,俏,qiào,,,"like, similar; resemble; pretty"
U+4FD0,俐,lì,,,"smooth; active; clever, sharp"
U+4FD1,俑,yǒng,,,wooden figure buried with dead
U+4FD7,俗,sú,,,"social customs; vulgar, unrefined"
U+4FD8,俘,fú,,,prisoner of war; take as prisoner
U+4FDA,俚,lǐ,,,"rustic, vulgar, unpolished; mean"
U+4FDD,保,bǎo,,,"protect, safeguard, defend, care"
U+4FDE,俞,yú,,,"surname; consent, approve"
U+4FE0,俠,xiá,,侠,chivalrous person; knight-errant
U+4FE1,信,xìn,,,"trust, believe; letter"
U+4FE8,俨,yǎn,儼,,"grave, respectful, majestic"
U+4FE9,俩,liǎ,倆,,"two, pair"
U+4FEA,俪,lì,儷,,"spouse, couple, pair"
U+4FED,俭,jiǎn,儉,,"temperate, frugal, economical"
U+4FEE,修,xiū,,,study; repair; cultivate
U+4FEF,俯,fǔ,,,"bow down, face down, look down"
U+4FF1,俱,jù,,,"all, together; accompany"
U+4FF3,俳,pái,,,actor; vaudeville show; insincere
U+4FF5,俵,biào,,,"divide, distribute"
U+4FFA,俺,ǎn,,,"personal pronoun, I"
U+4FFE,俾,bǐ bì,,,"so that, in order that; to cause; (Cant.) to give (synonymous with Mandarin 給)"
U+5006,倆,liǎ,,俩,"clever, skilled; two, pair"
U+5009,倉,cāng,,仓,granary; berth; sea
U+500B,個,gè,,个,"numerary adjunct, piece; single"
U+500D,倍,bèi,,,"times, fold, multiple times"
U+500F,倏,shū,,,"hastily, suddenly, abruptly"
U+5011,們,mén,,们,adjunct pronoun indicate plural
U+5012,倒,dào,,,fall over; lie down; take turns
U+5014,倔,jué,,,"stubborn, obstinate, intransigent; firm"
U+5016,倖,xìng,,,"lucky, fortunate; dote on, spoil"
U+5018,倘,tǎng,,,"if, supposing, in event of"
U+5019,候,hòu,,,wait; expect; visit; greet
U+501A,倚,yǐ,,,"rely on, depend on; lean heavily"
U+501F,借,jiè,"借,藉",借,borrow; lend; make pretext of
U+5021,倡,chàng,,,"guide, leader; lead, introduce"
U+5023,倣,fǎng,,,imitate
U+5026,倦,juàn,,,"be tired of, weary"
U+5029,倩,qiàn,,,"beautiful, lovely; son-in-law"
U+502A,倪,ní,,,"feeble, tiny, young and weak"
U+502B,倫,lún,,伦,normal human relationships
U+502D,倭,wō,,,"dwarf; dwarfish, short"
U+503A,债,zhài,債,,"debt, loan, liabilities"
U+503C,值,zhí,,,price
U+503E,倾,qīng,傾,,"upset, pour out, overflow"
U+5043,偃,yǎn,,,"cease, lay off, lay down"
U+5047,假,jiǎ,,,"falsehood, deception; vacation"
U+5049,偉,wěi,,伟,"great, robust; extraordinary"
U+504C,偌,ruò,,,"thus, so, like, such"
U+504E,偎,wēi,,,"cling to, cuddle, embrace, fondle"
U+504F,偏,piān,,,inclined one side; slanting
U+5055,偕,xié,,,together; be in order
U+505A,做,zuò,,,"work, make; act"
U+505C,停,tíng,,,"stop, suspend, delay; suitable"
U+5065,健,jiàn,,,"strong, robust, healthy; strength"
U+5074,側,cè,,侧,"side; incline, slant, lean"
U+5075,偵,zhēn,,侦,"spy, reconnoiter; detective"
U+5076,偶,ǒu,,,"accidentally, coincidently; an idol"
U+5077,偷,tōu,,,"to steal, burglar, thief"
U+507B,偻,lóu,"偻,僂",偻,humpback; surname
U+507D,偽,wěi,,伪,"false, counterfeit, bogus"
U+507F,偿,cháng,償,,"repay, recompense; restitution"
U+5080,傀,kuǐ,,,"great, gigantic; puppet"
U+5085,傅,fù,,,"tutor, teacher; assist; surname"
U+5088,傈,lì,,,tribe
U+508C,傌,mà,,㐷,"to curse, to revile, to abuse; to scold"
U+508D,傍,bàng,,,"by side of, beside, near, close"
U+5091,傑,jié,,杰,"hero; outstanding, remarkable"
U+5098,傘,sǎn,,伞,"umbrella, parasol, parachute"
U+5099,備,bèi,,备,"prepare, ready, perfect"
U+509A,傚,xiào,,,"imitate, mimic"
U+50A2,傢,jiā,,家,"stubborn, obstinate, intransigent"
U+50A3,傣,dǎi,,,the Dai minority living in South China
U+50A8,储,chǔ,儲,,"save money, store, reserve; heir"
U+50AC,催,cuī,,,"press, urge"
U+50AD,傭,yōng,,佣,"hire, employ, charter; servant"
U+50B2,傲,ào,,,"proud, haughty, overbearing"
U+50B3,傳,chuán,,传,"summon; propagate, transmit"
U+50B5,債,zhài,,债,"debt, loan, liabilities"
U+50B7,傷,shāng,,伤,"wound, injury; fall ill from"
U+50BB,傻,shǎ,,,"foolish, silly, stupid; an imbecile"
U+50BE,傾,qīng,,倾,"upset, pour out, overflow"
U+50C2,僂,lóu,,偻,humpback; surname
U+50C5,僅,jǐn,,仅,"only, merely, solely, just"
U+50CF,像,xiàng,,,"a picture, image, figure; to resemble"
U+50D1,僑,qiáo,,侨,"sojourn, lodge"
U+50DA,僚,liáo,,,"companion, colleague; officials; bureaucracy; a pretty face"
U+50E7,僧,sēng,,,"Buddhist priest, monk; san of Sanskrit sangha"
U+50F1,僱,gù,,,"employ, hire"
U+50F3,僳,sù,,,minority name
U+50F5,僵,jiāng,,,"stiff and motionless, stock still"
U+50F9,價,jià,,价,"price, value"
U+50FB,僻,pì,,,"out-of-the-way, remote; unorthodox"
U+5100,儀,yí,,仪,"ceremony, rites gifts; admire"
U+5102,儂,nóng,,侬,I; you; family name
U+5104,億,yì,,亿,hundred million; many
U+5109,儉,jiǎn,,俭,"temperate, frugal, economical"
U+510B,儋,dān,,,a small jar; to bear a burden; a load of two
U+5112,儒,rú,,,Confucian scholar
U+5118,儘,jǐn,,尽,utmost
U+511F,償,cháng,,偿,"repay, recompense; restitution"
U+5121,儡,lěi,,,"puppet, dummy"
U+512A,優,yōu,,优,"superior, excellent; actor"
U+5132,儲,chǔ,,储,"to save money, store, reserve; an heir"
U+513A,儺,nuó,,傩,rich
U+513C,儼,yǎn,,俨,"grave, respectful, majestic"
U+513F,儿,ér,"儿,兒",儿,"son, child; Kangxi radical 10"
U+5140,兀,wù,,,to cut off the feet
U+5141,允,yǔn,,,"to grant, to allow, to consent"
U+5143,元,yuán,,,first; dollar; origin; head
U+5144,兄,xiōng,,,elder brother
U+5145,充,chōng,,,"fill, be full, supply"
U+5146,兆,zhào,,,omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion
U+5147,兇,xiōng,,,"atrocious, ferocious, brutal"
U+5148,先,xiān,,,"first, former, previous"
U+5149,光,guāng,,,"light, brilliant, shine; only"
U+514B,克,kè,"克,剋",克,gram; overcome; transliteration
U+514C,兌,duì,,兑,"cash; exchange, barter; weight; trigram ☱; hexagram ䷹"
U+514D,免,miǎn,,,spare; excuse from; evade
U+5151,兑,duì,"兌,兑",兑,cash; exchange
U+5152,兒,ér,,儿,"son, child, oneself; final part"
U+5154,兔,tù,,,"rabbit, hare"
U+5157,兗,yǎn,,兖,establish; one of nine empire divisions
U+515A,党,dǎng,"党,黨",党,"political party, gang, faction"
U+515C,兜,dōu,,,pouch
U+5162,兢,jīng,,,"fearful, cautious, wary"
U+5165,入,rù,,,"enter, come in(to), join"
U+5167,內,nèi,,内,"inside, interior; domestic"
U+5168,全,quán,,,"maintain, keep whole or intact"
U+5169,兩,liǎng,,两,"two, both, pair, couple; ounce"
U+516B,八,bā,,,"eight; all around, all sides"
U+516C,公,gōng,,,"fair, equitable; public; duke"
U+516D,六,liù,,,number six
U+516E,兮,xī,,,exclamatory particle
U+5170,兰,lán,蘭,,"orchid; elegant, graceful"
U+5171,共,gòng,,,"together with, all, total; to share"
U+5173,关,guān,關,,frontier pass; close; relation
U+5174,兴,xìng,興,,"thrive, prosper, flourish"
U+5175,兵,bīng,,,"soldier, troops"
U+5176,其,qí,,,"his, her, its, their; that"
U+5177,具,jù,,,"tool, implement; draw up, write"
U+5178,典,diǎn,,,"law, canon; documentation; classic, scripture"
U+5179,兹,zī,茲,,"now, here; this; time, year"
U+517B,养,yǎng,養,,"raise, rear, bring up; support"
U+517C,兼,jiān,,,"unite, combine; connect; and"
U+517D,兽,shòu,獸,,"beast, animal; bestial"
U+5180,冀,jì,,,hope for; wish; Hebei province
U+5185,内,nèi,"內,内",内,inside
U+5188,冈,gāng,岡,,ridge or crest of hill
U+5189,冉,rǎn,,,tender; weak; proceed gradually
U+518A,冊,cè,,册,"book, volume"
U+518C,册,cè,"冊,册",册,"book, volume, register, list"
U+518D,再,zài,,,"again, twice, re-"
U+5192,冒,mào,,,"risk, brave, dare"
U+5195,冕,miǎn,,,crown; ceremonial cap
U+5197,冗,rǒng,,,excessive; superfluous
U+5199,写,xiě,寫,,"write; draw, sketch; compose"
U+519B,军,jūn,軍,,"army, military; soldiers, troops"
U+519C,农,nóng,農,,"agriculture, farming; farmer"
U+51A0,冠,guān,,,"cap, crown, headgear"
U+51A2,冢,zhǒng,,,"burial mound, mausoleum; grand"
U+51A4,冤,yuān,,,"grievance, injustice, wrong"
U+51A5,冥,míng,,,"dark, gloomy, night; deep"
U+51AC,冬,dōng,"冬,鼕",冬,"winter, 11th lunar month"
U+51AF,冯,féng,馮,,surname; gallop; by dint of
U+51B0,冰,bīng,,,ice; ice-cold
U+51B2,冲,chōng,"冲,沖,衝",冲,soar; pour boiling water over
U+51B3,决,jué,決,,"decide, determine, judge"
U+51B5,况,kuàng,"况,況",况,"condition, situation; furthermore"
U+51B6,冶,yě,,,"smelt, fuse metals; cast, found"
U+51B7,冷,lěng,,,"cold, cool; lonely"
U+51BB,冻,dòng,凍,,"freeze; cold, congeal; jelly"
U+51BC,冼,xiǎn,,,a surname
U+51BD,冽,liè,,,"cold and raw; pure, clear"
U+51C0,净,jìng,凈,,"clean, pure; cleanse"
U+51C6,准,zhǔn,"准,準",准,"approve, allow, permit; in accord"
U+51C7,凇,sōng,,,dewdrop; icicle
U+51C8,凈,jìng,,净,"clean, pure; cleanse"
U+51C9,凉,liáng,"凉,涼",凉,"cool, cold; disheartened"
U+51CB,凋,diāo,,,"be withered, fallen; exhausted"
U+51CC,凌,líng,,,pure; virtuous; insult; maltreat
U+51CD,凍,dòng,,冻,"freeze; cold, congeal; jelly"
U+51CF,减,jiǎn,"减,減",减,"decrease, subtract, diminish"
U+51D1,凑,còu,"凑,湊",凑,"piece together, assemble"
U+51D6,凖,zhǔn,,,"rule, guideline, standard"
U+51DB,凛,lǐn,凜,,to shiver with cold or fear
U+51DC,凜,lǐn,,凛,"shiver with cold or fear, fearful"
U+51DD,凝,níng,,,coagulate; congeal; freeze
U+51E0,几,jǐ,"几,幾",几,small table
U+51E1,凡,fán,,,"all, any, every; ordinary, common"
U+51E4,凤,fèng,"凤,鳳",凤,male phoenix; symbol of joy
U+51ED,凭,píng,"凭,憑",凭,"lean on, depend on, rely on"
U+51EF,凯,kǎi,凱,,"triumphant; triumph, victory"
U+51F0,凰,huáng,,,female phoenix
U+51F1,凱,kǎi,,凯,"triumphant; triumph, victory"
U+51F3,凳,dèng,,,bench; stool
U+51F6,凶,xiōng,,,"culprit; murder; bad, sad"
U+51F8,凸,tū,,,"protrude, bulge out, convex"
U+51F9,凹,āo,,,"concave, hollow, depressed; a pass, valley"
U+51FA,出,chū,"出,齣",出,"go out, send out; stand; produce"
U+51FB,击,jī,擊,,"strike, hit, beat; attack, fight"
U+51FD,函,hán,,,correspondence; a case; a box
U+51FF,凿,záo,鑿,,"chisel; bore, pierce"
U+5200,刀,dāo,,,knife; old coin; measure
U+5201,刁,diāo,,,"tricky, sly, crafty, cunning"
U+5203,刃,rèn,,,"edged tool, cutlery, knife edge"
U+5206,分,fēn,,,divide; small unit of time etc.
U+5207,切,qiè,,,"cut, mince, slice, carve"
U+5208,刈,yì,,,"cut off, reap, mow; sickle"
U+520A,刊,kān,,,"publication, periodical; publish"
U+520D,刍,chú,芻,,"mow, cut grass; hay, fodder"
U+5211,刑,xíng,,,"punishment, penalty; law"
U+5212,划,huà,"划,劃",划,to row or paddle boat; to scratch
U+5217,列,liè,,,"a line; to arrange in order, classify"
U+5218,刘,liú,"刘,劉",刘,"surname; kill, destroy"
U+5219,则,zé,則,,"rule, law, regulation; grades"
U+521A,刚,gāng,剛,,"hard, tough, rigid, strong"
U+521B,创,chuàng,創,,"establish, create; knife cut"
U+521D,初,chū,,,"beginning, initial, primary"
U+5220,删,shān,"删,刪",删,to cut; delete
U+5224,判,pàn,,,judge; discriminate; conclude
U+5225,別,bié,,别,"separate, other; do not"
U+5228,刨,páo,,,"carpenter's plane; plane, level"
U+5229,利,lì,,,"gains, advantage, profit, merit"
U+522A,刪,shān,,删,"to cut; delete, erase; to geld"
U+522B,别,bié,"別,别,彆",别,"separate, other; do not"
U+522E,刮,guā,"刮,颳",刮,"shave, pare off, scrape"
U+5230,到,dào,,,"go to, arrive, been to"
U+5236,制,zhì,"制,製",制,system; establish; overpower
U+5237,刷,shuā,,,"brush; clean with brush, scrub"
U+5238,券,quàn,,,"certificate, ticket; title deeds"
U+5239,刹,shā,"刹,剎",刹,"temple, shrine, monastery"
U+523A,刺,cì,,,"stab; prick, irritate; prod"
U+523B,刻,kè,,,"carve, engrave; quarter hour"
U+5241,剁,duò,,,"chop by pounding, mince, hash"
U+5242,剂,jì,劑,,medicinal preparation
U+5243,剃,tì,,,shave
U+5247,則,zé,,则,"rule, law, regulation; grades"
U+524A,削,xuē,,,"scrape off, pare, trim"
U+524D,前,qián,,,"in front, forward; preceding"
U+524E,剎,shā,,刹,temple
U+5251,剑,jiàn,劍,,"sword, dagger, saber"
U+5254,剔,tī,,,pick out; scrape off; scrape meat
U+5256,剖,pōu pǒ,,,"split in two, slice; dissect"
U+525B,剛,gāng,,刚,"hard, tough, rigid, strong"
U+525D,剝,bō,,剥,"peel, peel off, to shell, strip; hexagram ䷖"
U+5265,剥,bō,剝,,peel
